WKT,id,nom,type
"MULTIPOINT ((5.48361 44.92278))",1200,Fontaine de Tiolache,point d'eau
"MULTIPOINT ((5.524 44.958))",1790,Pas Morta,passage
"MULTIPOINT ((6.0548 45.3181))",2201,Crêt Luisard,sommet
"MULTIPOINT ((5.70291 45.33524))",1248,Grande Sure,sommet
"MULTIPOINT ((5.85488 44.97634))",1445,Tabor (de la Mure),sommet
"MULTIPOINT ((5.5924 44.8914))",2640,Rocher du Baconnet,sommet
"MULTIPOINT ((6.1069 45.2855))",2789,Grande Roche,sommet
"MULTIPOINT ((5.85555 45.30822))",547,Dent de Crolles,sommet
"MULTIPOINT ((6.23973 45.07451))",4077,Gros Têt ou Cime du Rachas,sommet
"MULTIPOINT ((5.92684 45.16306))",1868,Grand Colon (sommet  sud),sommet
"MULTIPOINT ((6.03294 45.24159))",1869,Cime de la Jasse,sommet
"MULTIPOINT ((5.51 44.8432))",4152,Roc Mazilier,sommet
"MULTIPOINT ((6.22296 44.96442))",1064,Aiguille du Plat de la Selle,sommet
"MULTIPOINT ((5.8238 44.8025))",2327,L'Aiguille,sommet
"MULTIPOINT ((6.09619 45.00692))",2776,Pied Moutet,sommet
"MULTIPOINT ((5.50269 44.83545))",1775,Carrières Romaines / Arbre taillé / Queyrie,passage
"MULTIPOINT ((5.519 44.937))",1789,Pas de Serre-Brion,passage
"MULTIPOINT ((5.5223 44.85344))",1788,Pas du Fouillet,passage
"MULTIPOINT ((5.8433 44.9285))",2185,Col de Malissol,passage
"MULTIPOINT ((5.58379 45.01476))",1995,Pas de l'Oeille,passage
"MULTIPOINT ((5.938 45.135))",2096,Col de la petite Vaudaine,passage
"MULTIPOINT ((5.953 45.148))",2097,Col de la Grande Vaudaine,passage
