WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((5.56038518053617 45.0653488728404))",PAIHABIT0000000007547075,Zone d'habitation,Quartier,les pierres
"MULTIPOINT ((5.36752870332151 45.0535302622907))",PAIOROGR0000002012660782,Détail orographique,Col,col de mézelier
"MULTIPOINT ((5.62415027726219 44.9548392140093))",PAIE_NAT0000000007452051,Lieu-dit non habité,Lieu-dit non habité,bournaire
"MULTIPOINT ((5.77647394565493 45.2084042961616))",PAIHABIT0000000007544777,Zone d'habitation,Quartier,les buclos
"MULTIPOINT ((5.70642550914654 45.3169302688498))",PAIOROGR0000000007454340,Détail orographique,Col,col d'hurtières
"MULTIPOINT ((5.71736670156738 45.1355914689305))",PAIHABIT0000000007545904,Zone d'habitation,Lieu-dit habité,saint-jacques
"MULTIPOINT ((5.7390402255732 44.8305721782668))",PAIHABIT0000000007548269,Zone d'habitation,Lieu-dit habité,raudet
"MULTIPOINT ((5.7390402255732 44.8305721782668))",PAIHABIT0000000007548269,Zone d'habitation,Lieu-dit habité,rhodet
"MULTIPOINT ((5.57597624794612 45.2658440345147))",PAIHABIT0000000007543949,Zone d'habitation,Lieu-dit habité,la combe
"MULTIPOINT ((5.65221799513171 45.0025538127632))",PAIHABIT0000000007547554,Zone d'habitation,Lieu-dit habité,les benais
"MULTIPOINT ((5.79980456983822 45.0962673864493))",PAIHABIT0000000007546329,Zone d'habitation,Lieu-dit habité,les girouds
"MULTIPOINT ((6.04739197493426 45.0461066225427))",PAIHABIT0000000007546996,Zone d'habitation,Lieu-dit habité,couard
"MULTIPOINT ((6.04739197493426 45.0461066225427))",PAIHABIT0000000007546996,Zone d'habitation,Lieu-dit habité,le couard
"MULTIPOINT ((5.81574449155025 45.1840825011589))",PAIHABIT0000000007544989,Zone d'habitation,Lieu-dit habité,les jacques
"MULTIPOINT ((5.80656918163781 45.3140257593208))",PAIHABIT0000000007542936,Zone d'habitation,Lieu-dit habité,les michons
"MULTIPOINT ((5.5620037133595 45.2590651245288))",PAIHABIT0000000007544182,Zone d'habitation,Lieu-dit habité,les platières
"MULTIPOINT ((5.48209098021382 45.1858196475732))",PAIHABIT0000000007545315,Zone d'habitation,Lieu-dit habité,sur le puy
"MULTIPOINT ((5.3639348847124 45.1332454762749))",PAIHABIT0000000007546211,Zone d'habitation,Lieu-dit habité,cadet
"MULTIPOINT ((6.28820008315031 44.9497440725191))",PAIOROGR0000000007456137,Détail orographique,Vallée,combe chalve
"MULTIPOINT ((5.99310995474705 45.2554673323535))",PAIHABIT0000000329253988,Zone d'habitation,Quartier,edelweiss
